rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,e-value-kingdom,e-value-phylum,e-value-class,e-value-order,e-value-family,e-value-genus,per-ident-genus,per-ident-species
order,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,,,,e-100,,,,
genus,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,,,,,,,0.9,
phylum,Fungi,BCG2,,,,,,,e-66,,,,,,
species,Fungi,BCG2,,,,,,,,,,,,,0.95
phylum,Fungi,Blastocladiomycota,,,,,,,e-66,,,,,,
order,Fungi,Blastocladiomycota,,,,,,,,,e-80,,,,
genus,Fungi,Blastocladiomycota,,,,,,,,,,,,0.85,
species,Fungi,Blastocladiomycota,,,,,,,,,,,,,0.95
phylum,Fungi,Calcarisporielliomycota,,,,,,,e-80,,,,,,
order,Fungi,Calcarisporielliomycota,,,,,,,,,e-100,,,,
genus,Fungi,Calcarisporielliomycota,,,,,,,,,,,,0.9,
species,Fungi,Calcarisporielliomycota,,,,,,,,,,,,,0.95
phylum,Fungi,Chytridiomycota,,,,,,,e-70,,,,,,
order,Fungi,Chytridiomycota,,,,,,,,,e-80,,,,
genus,Fungi,Chytridiomycota,,,,,,,,,,,,0.85,
species,Fungi,Chytridiomycota,,,,,,,,,,,,,0.95
phylum,Fungi,Entomophthoromycota,,,,,,,e-70,,,,,,
order,Fungi,Entomophthoromycota,,,,,,,,,e-80,,,,
genus,Fungi,Entomophthoromycota,,,,,,,,,,,,0.85,
species,Fungi,Entomophthoromycota,,,,,,,,,,,,,0.95
phylum,Fungi,Entorrhizomycota,,,,,,,e-70,,,,,,
order,Fungi,Entorrhizomycota,,,,,,,,,e-100,,,,
genus,Fungi,Entorrhizomycota,,,,,,,,,,,,0.9,
species,Fungi,Entorrhizomycota,,,,,,,,,,,,,0.95
phylum,Fungi,Glomeromycota,,,,,,,e-80,,,,,,
order,Fungi,Glomeromycota,,,,,,,,,e-100,,,,
genus,Fungi,Glomeromycota,,,,,,,,,,,,0.85,
