qseqid,kingdom,phylum,class,order,family,genus,species,notes
"7ff6d43b8d760678c3f6237733a43231","Fungi","Basidiomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"8025a0f770f589c8525100fca017baff","Fungi","Ascomycota","Lecanoromycetes","Unclassified","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"802f6e3d172dd957bea286c3b4f3e619","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"803f047459649ec215d915f02c2fc060","Fungi","Ascomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"805281086d89f2e6175c414ddaf5a2a2","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Neptunomyces","Unclassified","ITS pipeline completed"
"805bc24eb174ca3a875cd3b177af7e7d","Fungi","Ascomycota","Pezizomycetes","Pezizales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"8060ec8fd56f3d585d4496b535754af8","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma","Unclassified","ITS pipeline completed"
"8068f00a50bed65a32fb3f7f3e8ded52","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula mucilaginosa","ITS pipeline completed"
"807c95bb936b877a8b6d5955d7965d01","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium simplicissimum","ITS pipeline completed"
"80889415f63bc0cafdb6d53112d0fdf2","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Unclassified","ITS pipeline completed"
"8097b1757284c7fcc3d666cf678000ad","Fungi","Ascomycota","Sordariomycetes","Pisorisporiales","Pisorisporiaceae","Achroceratosphaeria","Unclassified","ITS pipeline completed"
"8099b160b7e3b71b04b4e4eee9e1c273","Viridiplantae","Chlorophyta","Chlorophyceae","Chlorosarcinales","Unclassified","Pleurastrosarcina","Unclassified","ITS pipeline completed"
"809caaa2aabc251941b1fd093370853c","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","Cladonia acuminata","ITS pipeline completed"
"80b5f035f541538dcf6dc9f3c51a9ae3","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Endoconidioma","Endoconidioma euphorbiae","ITS pipeline completed"
"80bec560ba560de23868d723c3365366","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Kamienskia","Kamienskia bistrata","ITS pipeline completed"
"80bf2821d0500798922b685689b45261","Fungi","Ascomycota","Leotiomycetes","Helotiales","Unclassified","Spirosphaera","Unclassified","ITS pipeline completed"
"80bf6c315f1ccef39fe644f6b2708d55","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","Dioszegia butyracea","ITS pipeline completed"
"80c8051fc04a97578930be44dd22717e","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Heterocephalacria","Unclassified","ITS pipeline completed"
"80cf0eb418be4f0496ec3a5de5dac183","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma asperellum","ITS pipeline completed"
"80debc14e9a0fdc540f6a5d3096dcb46","Fungi","Ascomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"80dff9a5b315b0b836c22b7aa4d33623","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Unclassified","Unclassified","ITS pipeline completed"
"80e2587cc2b56bd6e1400b91aad48aaa","Viridiplantae","Chlorophyta","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"80e774a2995f99ae0b12826cd5d97945","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium","Chloridium bellum","ITS pipeline completed"
"80e8c60b41fdad3256305b3fd8a2e81e","Fungi","Ascomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"80f02fafef0ca6a4e0786d31a38dbc26","Viridiplantae","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia","Trebouxia impressa","ITS pipeline completed"
"80f271342302cc86b8be7b578054a9a9","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"8108d80ba2b30484cdab429604abf19b","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","Coniothyrium palmicola","ITS pipeline completed"
"81186135a3b699b3d16db4fb518df03d","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","Unclassified","ITS pipeline completed"
"812aeb90cfd8d0d353b760f28919d768","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","Peniophora tamaricicola","ITS pipeline completed"
"8138003dab27e326b0b80ea3b0260423","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Calophoma","Calophoma rosae","ITS pipeline completed"
"8148f00b1dce9c077992b5f8214ffa7a","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum","Unclassified","ITS pipeline completed"
"8158ac4723a4a4764466b66c5486209a","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Extremaceae","Unclassified","Unclassified","ITS pipeline completed"
"815d22bac159df8630efc9cc11d2c4b2","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Pseudocoleophoma","Pseudocoleophoma rusci","ITS pipeline completed"
"815d9181aea8c085356dd3479ffa9965","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Unclassified","Unclassified","ITS pipeline completed"
"8183e70beefe4afbf4603ad50aa34e65","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Unclassified","ITS pipeline completed"
"8191d2a555ae43477bcdbb3174ba38a2","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Unclassified","Unclassified","ITS pipeline completed"
"819247442133368a67454ea87d36acf3","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Oliveoniaceae","Oliveonia","Unclassified","ITS pipeline completed"
"81aab79917205cc8d85706efc00db79a","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","Lepiota recondita","ITS pipeline completed"
